名称,カテゴリー,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
都営浅草線 本所吾妻橋駅 3階建 築45年,0,都営浅草線/本所吾妻橋駅 歩7分,築45年,3階建,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
都営浅草線 本所吾妻橋駅 3階建 築45年,0,東京メトロ銀座線/浅草駅 歩9分,築45年,3階建,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
都営浅草線 本所吾妻橋駅 3階建 築45年,0,東京メトロ銀座線/田原町駅 歩13分,築45年,3階建,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269374331
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,2階,2SLDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277248202
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277257898
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269374331
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,2階,2SLDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277248202
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,ＪＲ常磐線/南千住駅 歩9分,築3年,7階建,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277257898
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269374331
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,2階,2SLDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277248202
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,京成本線/千住大橋駅 歩10分,築3年,7階建,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277257898
エーエス日暮里,0,ＪＲ山手線/日暮里駅 歩6分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277200004
エーエス日暮里,0,ＪＲ山手線/鶯谷駅 歩10分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277200004
エーエス日暮里,0,ＪＲ山手線/西日暮里駅 歩13分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277200004
ＪＲ山手線 日暮里駅 8階建 築10年,0,ＪＲ山手線/日暮里駅 歩6分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
ＪＲ山手線 日暮里駅 8階建 築10年,0,ＪＲ常磐線/三河島駅 歩12分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
ＪＲ山手線 日暮里駅 8階建 築10年,0,ＪＲ山手線/鶯谷駅 歩15分,築10年,8階建,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,7階,ワンルーム,27.43m2,7.9万円,8000円,7.9万円,7.9万円,https://suumo.jp/chintai/jnc_000073086940/?bc=100276156043
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,9階,ワンルーム,27.43m2,8万円,8000円,8万円,8万円,https://suumo.jp/chintai/jnc_000059856243/?bc=100276127724
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,13階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000072879172/?bc=100276962343
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,14階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000073221910/?bc=100276936879
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,16階,ワンルーム,27.43m2,8.3万円,8000円,8.3万円,8.3万円,https://suumo.jp/chintai/jnc_000073221911/?bc=100277023091
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,7階,2LDK,60.2m2,14.6万円,12000円,14.6万円,29.2万円,https://suumo.jp/chintai/jnc_000072871078/?bc=100277123636
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,10階,2LDK,60.2m2,15万円,12000円,15万円,30万円,https://suumo.jp/chintai/jnc_000066454532/?bc=100274155089
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築18年,18階建,17階,2LDK,60.47m2,15.7万円,12000円,15.7万円,31.4万円,https://suumo.jp/chintai/jnc_000072871077/?bc=100277267289
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,7階,ワンルーム,27.43m2,7.9万円,8000円,7.9万円,7.9万円,https://suumo.jp/chintai/jnc_000073086940/?bc=100276156043
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,9階,ワンルーム,27.43m2,8万円,8000円,8万円,8万円,https://suumo.jp/chintai/jnc_000059856243/?bc=100276127724
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,13階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000072879172/?bc=100276962343
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,14階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000073221910/?bc=100276936879
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,16階,ワンルーム,27.43m2,8.3万円,8000円,8.3万円,8.3万円,https://suumo.jp/chintai/jnc_000073221911/?bc=100277023091
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,7階,2LDK,60.2m2,14.6万円,12000円,14.6万円,29.2万円,https://suumo.jp/chintai/jnc_000072871078/?bc=100277123636
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,10階,2LDK,60.2m2,15万円,12000円,15万円,30万円,https://suumo.jp/chintai/jnc_000066454532/?bc=100274155089
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,ＪＲ常磐線/三河島駅 歩14分,築18年,18階建,17階,2LDK,60.47m2,15.7万円,12000円,15.7万円,31.4万円,https://suumo.jp/chintai/jnc_000072871077/?bc=100277267289
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,7階,ワンルーム,27.43m2,7.9万円,8000円,7.9万円,7.9万円,https://suumo.jp/chintai/jnc_000073086940/?bc=100276156043
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,9階,ワンルーム,27.43m2,8万円,8000円,8万円,8万円,https://suumo.jp/chintai/jnc_000059856243/?bc=100276127724
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,13階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000072879172/?bc=100276962343
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,14階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000073221910/?bc=100276936879
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,16階,ワンルーム,27.43m2,8.3万円,8000円,8.3万円,8.3万円,https://suumo.jp/chintai/jnc_000073221911/?bc=100277023091
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,7階,2LDK,60.2m2,14.6万円,12000円,14.6万円,29.2万円,https://suumo.jp/chintai/jnc_000072871078/?bc=100277123636
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,10階,2LDK,60.2m2,15万円,12000円,15万円,30万円,https://suumo.jp/chintai/jnc_000066454532/?bc=100274155089
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,都電荒川線/荒川一中前駅 歩4分,築18年,18階建,17階,2LDK,60.47m2,15.7万円,12000円,15.7万円,31.4万円,https://suumo.jp/chintai/jnc_000072871077/?bc=100277267289
小宮ビル,0,ＪＲ山手線/西日暮里駅 歩6分,築27年,8階建,7階,2LDK,51.53m2,12.3万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000038913722/?bc=100277190967
小宮ビル,0,ＪＲ山手線/西日暮里駅 歩6分,築27年,8階建,7階,2LDK,51.53m2,12.5万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000073265912/?bc=100277247778
小宮ビル,0,日暮里・舎人ライナー/赤土小学校前駅 歩10分,築27年,8階建,7階,2LDK,51.53m2,12.3万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000038913722/?bc=100277190967
小宮ビル,0,日暮里・舎人ライナー/赤土小学校前駅 歩10分,築27年,8階建,7階,2LDK,51.53m2,12.5万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000073265912/?bc=100277247778
小宮ビル,0,日暮里・舎人ライナー/西日暮里駅 歩3分,築27年,8階建,7階,2LDK,51.53m2,12.3万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000038913722/?bc=100277190967
小宮ビル,0,日暮里・舎人ライナー/西日暮里駅 歩3分,築27年,8階建,7階,2LDK,51.53m2,12.5万円,8000円,6万円,6万円,https://suumo.jp/chintai/jnc_000073265912/?bc=100277247778
La riviere,0,東京メトロ日比谷線/南千住駅 歩8分,築3年,3階建,1階,1LDK,43.01m2,11.2万円,3000円,11.2万円,11.2万円,https://suumo.jp/chintai/jnc_000073278289/?bc=100277224598
La riviere,0,京成本線/千住大橋駅 歩9分,築3年,3階建,1階,1LDK,43.01m2,11.2万円,3000円,11.2万円,11.2万円,https://suumo.jp/chintai/jnc_000073278289/?bc=100277224598
La riviere,0,都電荒川線/三ノ輪橋駅 歩15分,築3年,3階建,1階,1LDK,43.01m2,11.2万円,3000円,11.2万円,11.2万円,https://suumo.jp/chintai/jnc_000073278289/?bc=100277224598
グラントレゾール西日暮里,0,ＪＲ山手線/西日暮里駅 歩7分,築11年,11階建,10階,1LDK,40.28m2,13.9万円,15000円,-,13.9万円,https://suumo.jp/chintai/jnc_000070500972/?bc=100262573812
グラントレゾール西日暮里,0,京成本線/新三河島駅 歩7分,築11年,11階建,10階,1LDK,40.28m2,13.9万円,15000円,-,13.9万円,https://suumo.jp/chintai/jnc_000070500972/?bc=100262573812
グラントレゾール西日暮里,0,ＪＲ京浜東北線/日暮里駅 歩12分,築11年,11階建,10階,1LDK,40.28m2,13.9万円,15000円,-,13.9万円,https://suumo.jp/chintai/jnc_000070500972/?bc=100262573812
